sequencenum,timestamp,context,event,detail,timestampint,contextinint,contextint,contextoutint,eventint,eventoffset,eventsize,eventdata
25,0.000 277 450,"SysTick","System Time (us)","0 us",49941,0x000000010000000F,0x000000010000000F,0x000000010000000F,13,2169,5,FF FF FF 0F E1 
26,0.000 285 539,"SysTick","Task Info","Para_Calc (0x10000C40): Priority=2",51397,0x000000010000000F,0x000000010000000F,0x000000010000000F,9,2174,19,05 06 F8 A8 80 80 01 A4 0E 5A 0C 98 8D 81 80 01 D8 97 80 
27,0.000 289 700,"SysTick","Stack Info","Para_Calc (0x10000C40): 1924 @ 0x20000468",52146,0x000000010000000F,0x000000010000000F,0x000000010000000F,21,2193,16,80 02 0F 00 D8 10 06 D8 EA 80 80 01 E3 08 3E 08 
28,0.000 297 583,"SysTick","Task Info","Fault_Tas (0x10001478): Priority=2",53565,0x000000010000000F,0x000000010000000F,0x000000010000000F,9,2209,19,B0 B9 80 80 01 01 01 00 D0 08 06 B0 B9 80 80 01 F8 04 07 
29,0.000 301 744,"SysTick","Stack Info","Fault_Tas (0x10001478): 1924 @ 0x20000CA0",54314,0x000000010000000F,0x000000010000000F,0x000000010000000F,21,2228,16,C0 98 80 80 01 1B 91 08 04 F8 A8 80 80 01 D1 07 
30,0.000 309 600,"SysTick","Task Info","HeartBeat (0x10001CB0): Priority=2",55728,0x000000010000000F,0x000000010000000F,0x000000010000000F,9,2244,19,5A 10 80 9D 81 80 01 AC A8 80 80 02 FF FF FF FF 0F 00 B5 
31,0.000 313 767,"SysTick","Stack Info","HeartBeat (0x10001CB0): 1924 @ 0x200014D8",56478,0x000000010000000F,0x000000010000000F,0x000000010000000F,21,2263,16,0F 06 A0 DA 80 80 01 EF 08 5A 10 80 9D 81 80 01 
32,0.000 321 622,"SysTick","Task Info","Flash Wri (0x100024E8): Priority=2",57892,0x000000010000000F,0x000000010000000F,0x000000010000000F,9,2279,19,AC A8 80 80 02 FF FF FF FF 0F 00 EB 13 07 F8 A8 80 80 01 
33,0.000 325 789,"SysTick","Stack Info","Flash Wri (0x100024E8): 1924 @ 0x20001D10",58642,0x000000010000000F,0x000000010000000F,0x000000010000000F,21,2298,16,1B E0 0C 04 D8 EA 80 80 01 8B 09 5C 10 98 8D 81 
34,0.000 333 644,"SysTick","Task Info","Log Fault (0x10002D20): Priority=2",60056,0x000000010000000F,0x000000010000000F,0x000000010000000F,9,2314,19,80 01 80 80 80 80 0F FF FF FF FF 0F 01 C9 0A 5A 10 80 8A 
35,0.000 337 811,"SysTick","Stack Info","Log Fault (0x10002D20): 1924 @ 0x20002548",60806,0x000000010000000F,0x000000010000000F,0x000000010000000F,21,2333,16,81 80 01 E0 E9 80 80 02 FF FF FF FF 0F 00 BA 25 
36,0.000 345 667,"SysTick","Task Info","Print_Hel (0x10003558): Priority=2",62220,0x000000010000000F,0x000000010000000F,0x000000010000000F,9,2349,19,06 90 FB 80 80 01 B3 08 5A 10 80 8A 81 80 01 E0 E9 80 80 
37,0.000 349 833,"SysTick","Stack Info","Print_Hel (0x10003558): 1924 @ 0x20002D80",62970,0x000000010000000F,0x000000010000000F,0x000000010000000F,21,2368,16,02 FF FF FF FF 0F 00 BE 25 02 0F A6 1C 06 E8 C9 
38,0.000 357 689,"SysTick","Task Info","Print_Tas (0x10003D90): Priority=2",64384,0x000000010000000F,0x000000010000000F,0x000000010000000F,9,2384,19,80 80 01 97 06 12 D7 04 04 B0 B9 80 80 01 ED 05 40 0D 00 
39,0.000 361 856,"SysTick","Stack Info","Print_Tas (0x10003D90): 1924 @ 0x200035B8",65134,0x000000010000000F,0x000000010000000F,0x000000010000000F,21,2403,16,FF FF FF FF 0F 88 B9 80 80 02 D8 04 E4 06 07 B0 
40,0.000 365 117,"SysTick","Num Modules","Registered Modules: 0",65721,0x000000010000000F,0x000000010000000F,0x000000010000000F,27,2419,5,B9 80 80 01 04 
41,0.000 368 461,"SysTick","ISR Exit","Returns to Idle",66323,0x000000010000000F,0x000000010000000F,0x0000000000000000,3,2424,3,F9 18 04 
42,0.000 569 661,"SysTick","ISR Enter","Runs for 3.239 us",102539,0x0000000000000000,0x000000010000000F,0x000000010000000F,2,2427,5,A0 DA 80 80 01 
43,0.000 572 900,"SysTick","ISR Exit","Returns to Idle",103122,0x000000010000000F,0x000000010000000F,0x0000000000000000,3,2432,3,D8 07 5C 
44,0.000 902 972,"SysTick","ISR Enter","Runs for 3.172 us",162535,0x0000000000000000,0x000000010000000F,0x000000010000000F,2,2435,5,10 80 9D 81 80 
45,0.000 906 144,"SysTick","ISR Exit","Returns to Idle",163106,0x000000010000000F,0x000000010000000F,0x0000000000000000,3,2440,3,01 80 80 
46,0.001 227 167,"Idle","vTaskNotifyGiveFromISR","xTaskToNotify=Para_Calc pxHigherPriorityTaskWoken=537001876",220890,0x0000000000000000,0x0000000000000000,0x0000000000000000,65,2443,15,80 80 0F FF FF FF FF 0F 01 CB 0A 5A 10 80 8A 
47,0.001 231 444,"Idle","Task Ready","Para_Calc, runs after 7.783 us",221660,0x0000000000000000,0x0000000000000000,0x0000000000000000,6,2458,8,81 80 01 E1 D9 80 80 02 
48,0.001 234 722,"Idle","ISR Exit","Returns to Scheduler",222250,0x0000000000000000,0x0000000000000000,0x0000000400000000,18,2466,3,FF FF FF 
49,0.001 239 228,"Para_Calc","Task Run","Runs for 50.783 us",223061,0x0000000400000000,0x0000000810000C40,0x0000000810000C40,4,2469,8,FF 0F 00 D3 09 5A 0D A8 
50,0.001 242 189,"SysTick","ISR Enter","Runs for 2.867 us",223594,0x0000000810000C40,0x000000010000000F,0x000000010000000F,2,2477,4,91 81 80 01 
51,0.001 245 056,"SysTick","ISR Exit","Returns to Para_Calc",224110,0x000000010000000F,0x000000010000000F,0x0000000810000C40,3,2481,3,D8 D9 80 
52,0.001 248 733,"Para_Calc","ulTaskNotifyTake","xClearCountOnExit=1 xTicksToWait=4294967295",224772,0x0000000810000C40,0x0000000810000C40,0x0000000810000C40,66,2484,10,80 02 96 01 00 89 0B 5C 10 80 
53,0.001 256 578,"Para_Calc","Task Ready","Fault_Tas, runs after 38.861 us",226184,0x0000000810000C40,0x0000000810000C40,0x0000000810000C40,6,2494,8,9D 81 80 01 80 80 80 80 
54,0.001 268 378,"Para_Calc","xQueueGenericSend","xQueue=0x10004698 pvItemToQueue=0x20000BD8 xTicksToWait=15 xCopyPosition=0",228308,0x0000000810000C40,0x0000000810000C40,0x0000000810000C40,90,2502,16,0F FF FF FF FF 0F 01 9E 0E 5A 10 80 8A 81 80 01 
55,0.001 274 572,"Para_Calc","Task Ready","Print_Hel, runs after 67.767 us",229423,0x0000000810000C40,0x0000000810000C40,0x0000000810000C40,6,2518,8,E1 D9 80 80 02 FF FF FF 
56,0.001 280 717,"Para_Calc","xTaskGenericNotify","xTaskToNotify=HeartBeat ulValue=1 eAction=1 pulPreviousNotificationValue=0",230529,0x0000000810000C40,0x0000000810000C40,0x0000000810000C40,62,2526,12,FF 0F 00 CF 09 5A 0D A8 91 81 80 01 
57,0.001 284 228,"Para_Calc","Task Ready","HeartBeat, runs after 177.861 us",231161,0x0000000810000C40,0x0000000810000C40,0x0000000810000C40,6,2538,8,D8 D9 80 80 02 96 01 00 
58,0.001 290 011,"Para_Calc","Task Block","Reason=27",232202,0x0000000810000C40,0x0000000810000C40,0x0000000400000000,7,2546,9,81 0B 07 A0 DA 80 80 01 1B 
59,0.001 295 439,"Fault_Tas","Task Run","Runs for 40.439 us",233179,0x0000000400000000,0x0000000810001478,0x0000000810001478,4,2555,8,80 10 04 90 FB 80 80 01 
60,0.001 306 400,"Fault_Tas","xQueueGenericSend","xQueue=0x10004E80 pvItemToQueue=0x2000142C xTicksToWait=4294967295 xCopyPosition=0",235152,0x0000000810001478,0x0000000810001478,0x0000000810001478,90,2563,20,94 0B 5C 10 80 8A 81 80 01 80 80 80 80 0F FF FF FF FF 0F 01 
61,0.001 312 706,"Fault_Tas","Task Ready","Log Fault, runs after 175.067 us",236287,0x0000000810001478,0x0000000810001478,0x0000000810001478,6,2583,8,B9 0A 5C 10 80 8A 81 80 
62,0.001 326 811,"Fault_Tas","xQueueGenericSend","xQueue=0x10004E80 pvItemToQueue=0x2000142C xTicksToWait=4294967295 xCopyPosition=0",238826,0x0000000810001478,0x0000000810001478,0x0000000810001478,90,2591,20,01 80 80 80 80 0F FF FF FF FF 0F 01 AA 11 5C 10 80 8A 81 80 
63,0.001 335 878,"Fault_Tas","Task Block","Reason=27",240458,0x0000000810001478,0x0000000810001478,0x0000000400000000,7,2611,9,01 80 80 80 80 0F FF FF FF 
64,0.001 342 339,"Print_Hel","Task Run","Runs for 111.822 us",241621,0x0000000400000000,0x0000000810003558,0x0000000810003558,4,2620,8,FF 0F 01 D1 10 5C 10 80 
65,0.001 352 333,"Print_Hel","xQueueGenericReceive","xQueue=0x10004698 pvBuffer=0xF0000000 xTicksToWait=4294967295 xJustPeek=1",243420,0x0000000810003558,0x0000000810003558,0x0000000810003558,92,2628,20,8A 81 80 01 80 80 80 80 0F FF FF FF FF 0F 01 83 0D 07 90 FB 
66,0.001 379 089,"Print_Hel","xQueueGenericSend","xQueue=0x10004500 pvItemToQueue=0x200034E0 xTicksToWait=4294967295 xCopyPosition=0",248236,0x0000000810003558,0x0000000810003558,0x0000000810003558,90,2648,20,80 80 01 1B 8D 0F 04 E8 C9 80 80 01 94 0B 5C 10 A8 91 81 80 
67,0.001 385 061,"Print_Hel","Task Ready","Print_Tas, runs after 171.128 us",249311,0x0000000810003558,0x0000000810003558,0x0000000810003558,6,2668,8,01 80 80 80 80 0F FF FF 
68,0.001 411 856,"Print_Hel","xQueueGenericSend","xQueue=0x10004500 pvItemToQueue=0x200034E0 xTicksToWait=4294967295 xCopyPosition=0",254134,0x0000000810003558,0x0000000810003558,0x0000000810003558,90,2676,20,FF FF 0F 01 D5 0B 5C 0C A8 91 81 80 01 80 80 80 80 0F 1E 01 
69,0.001 442 856,"Print_Hel","xQueueGenericSend","xQueue=0x10004500 pvItemToQueue=0x200034E0 xTicksToWait=4294967295 xCopyPosition=0",259714,0x0000000810003558,0x0000000810003558,0x0000000810003558,90,2696,20,9A 0B 5C 0C A8 91 81 80 01 80 80 80 80 0F 1E 01 FA 0A 5C 0C 
70,0.001 454 161,"Print_Hel","Task Block","Reason=27",261749,0x0000000810003558,0x0000000810003558,0x0000000400000000,7,2716,9,A8 91 81 80 01 80 80 80 80 
71,0.001 462 089,"HeartBeat","Task Run","Runs for 20.106 us",263176,0x0000000400000000,0x0000000810001CB0,0x0000000810001CB0,4,2725,8,0F 1E 01 FC 0A 5C 0C A8 
72,0.001 467 117,"HeartBeat","xTaskNotifyWait","ulBitsToClearOnEntry=0 ulBitsToClearOnExit=4294967295 pulNotificationValue=536878216 xTicksToWait=600",264081,0x0000000810001CB0,0x0000000810001CB0,0x0000000810001CB0,64,2733,17,91 81 80 01 80 80 80 80 0F 1E 01 FC 0A 5C 0C A8 91 
73,0.001 482 194,"HeartBeat","Task Block","Delayed",266795,0x0000000810001CB0,0x0000000810001CB0,0x0000000400000000,7,2750,9,81 80 01 80 80 80 80 0F 1E 
74,0.001 487 772,"Log Fault","Task Run","Runs for 60.444 us",267799,0x0000000400000000,0x0000000810002D20,0x0000000810002D20,4,2759,8,01 FC 0A 07 E8 C9 80 80 
75,0.001 495 189,"Log Fault","xQueueGenericReceive","xQueue=0x10004E80 pvBuffer=0xF0000000 xTicksToWait=4294967295 xJustPeek=1",269134,0x0000000810002D20,0x0000000810002D20,0x0000000810002D20,92,2767,20,01 04 EA 14 04 D8 EA 80 80 01 80 0E 5A 10 80 8A 81 80 01 E0 
76,0.001 501 983,"Log Fault","xQueueGenericSend","xQueue=0x10004500 pvItemToQueue=0x20002CE1 xTicksToWait=4294967295 xCopyPosition=0",270357,0x0000000810002D20,0x0000000810002D20,0x0000000810002D20,90,2787,20,E9 80 80 02 FF FF FF FF 0F 00 C5 15 06 90 FB 80 80 01 BF 08 
77,0.001 509 811,"Log Fault","xQueueGenericSend","xQueue=0x100048A8 pvItemToQueue=0x20002CD8 xTicksToWait=150 xCopyPosition=0",271766,0x0000000810002D20,0x0000000810002D20,0x0000000810002D20,90,2807,17,07 D8 EA 80 80 01 1B E3 0D 04 90 FB 80 80 01 A1 0B 
78,0.001 519 911,"Log Fault","xQueueGenericReceive","xQueue=0x10004E80 pvBuffer=0xF0000000 xTicksToWait=4294967295 xJustPeek=1",273584,0x0000000810002D20,0x0000000810002D20,0x0000000810002D20,92,2824,20,5C 10 80 8A 81 80 01 80 80 80 80 0F FF FF FF FF 0F 01 B6 0A 
79,0.001 526 722,"Log Fault","xQueueGenericSend","xQueue=0x10004500 pvItemToQueue=0x20002CE1 xTicksToWait=4294967295 xCopyPosition=0",274810,0x0000000810002D20,0x0000000810002D20,0x0000000810002D20,90,2844,20,07 90 FB 80 80 01 1B BA 10 11 FC 0C 02 0F FB 26 03 84 04 02 
80,0.001 534 533,"Log Fault","xQueueGenericSend","xQueue=0x100048A8 pvItemToQueue=0x20002CD8 xTicksToWait=150 xCopyPosition=0",276216,0x0000000810002D20,0x0000000810002D20,0x0000000810002D20,90,2864,17,0F F5 D0 03 03 D8 04 02 0F 8A D2 03 03 DA 04 02 0F 
81,0.001 548 217,"Log Fault","Task Block","Reason=27",278679,0x0000000810002D20,0x0000000810002D20,0x0000000400000000,7,2881,9,84 CE 03 03 D8 04 02 0F 88 
82,0.001 556 189,"Print_Tas","Task Run","Runs for 67.144 us",280114,0x0000000400000000,0x0000000810003D90,0x0000000810003D90,4,2890,8,D0 03 03 D8 04 02 0F 88 
83,0.001 563 406,"Print_Tas","xQueueGenericReceive","xQueue=0x10004500 pvBuffer=0xF0000000 xTicksToWait=4294967295 xJustPeek=1",281413,0x0000000810003D90,0x0000000810003D90,0x0000000810003D90,92,2898,20,D0 03 03 D8 04 02 0F 88 D0 03 03 D8 04 02 0F 80 D0 03 03 CC 
84,0.001 571 478,"SysTick","ISR Enter","Runs for 3.050 us",282866,0x0000000810003D90,0x000000010000000F,0x000000010000000F,2,2918,4,04 02 0F 94 
85,0.001 574 528,"SysTick","ISR Exit","Returns to Print_Tas",283415,0x000000010000000F,0x000000010000000F,0x0000000810003D90,3,2922,3,D0 03 03 
86,0.001 583 667,"Print_Tas","xQueueGenericReceive","xQueue=0x10004500 pvBuffer=0xF0000000 xTicksToWait=4294967295 xJustPeek=1",285060,0x0000000810003D90,0x0000000810003D90,0x0000000810003D90,92,2925,20,CC 04 02 0F 9C D0 03 03 D8 04 02 0F 80 D0 03 03 CC 04 02 0F 
87,0.001 593 361,"Print_Tas","xQueueGenericReceive","xQueue=0x10004500 pvBuffer=0xF0000000 xTicksToWait=4294967295 xJustPeek=1",286805,0x0000000810003D90,0x0000000810003D90,0x0000000810003D90,92,2945,20,9C D0 03 03 D8 04 02 0F 88 D0 03 03 D8 04 02 0F 80 D0 03 03 
88,0.001 603 322,"Print_Tas","xQueueGenericReceive","xQueue=0x10004500 pvBuffer=0xF0000000 xTicksToWait=4294967295 xJustPeek=1",288598,0x0000000810003D90,0x0000000810003D90,0x0000000810003D90,92,2965,20,CC 04 02 0F 94 D0 03 03 CC 04 02 0F 9C D0 03 03 D8 04 02 0F 
89,0.001 612 522,"Print_Tas","xQueueGenericReceive","xQueue=0x10004500 pvBuffer=0xF0000000 xTicksToWait=4294967295 xJustPeek=1",290254,0x0000000810003D90,0x0000000810003D90,0x0000000810003D90,92,2985,20,80 D0 03 03 CC 04 02 0F 94 D0 03 03 CC 04 02 0F 9C D0 03 03 
90,0.001 623 333,"Print_Tas","Task Block","Reason=27",292200,0x0000000810003D90,0x0000000810003D90,0x0000000400000000,7,3005,9,D8 04 02 0F 80 D0 03 03 CC 
91,0.001 630 389,"Idle","System Idle","",293470,0x0000000400000000,0x0000001000000000,0x0000001000000000,17,3014,3,04 02 0F 
92,0.001 903 039,"SysTick","ISR Enter","Runs for 3.311 us",342547,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3017,5,94 D0 03 03 CC 
93,0.001 906 350,"SysTick","ISR Exit","Returns to Idle",343143,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3022,3,04 02 0F 
94,0.002 236 372,"SysTick","ISR Enter","Runs for 3.311 us",402547,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3025,5,9C D0 03 03 D8 
95,0.002 239 683,"SysTick","ISR Exit","Returns to Idle",403143,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3030,3,04 02 0F 
96,0.002 569 706,"SysTick","ISR Enter","Runs for 3.311 us",462547,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3033,5,80 D0 03 03 CC 
97,0.002 573 017,"SysTick","ISR Exit","Returns to Idle",463143,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3038,3,04 02 0F 
98,0.002 903 039,"SysTick","ISR Enter","Runs for 3.311 us",522547,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3041,5,94 D0 03 03 CC 
99,0.002 906 350,"SysTick","ISR Exit","Returns to Idle",523143,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3046,3,04 41 0A 
100,0.003 236 372,"SysTick","ISR Enter","Runs for 3.311 us",582547,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3049,5,C0 98 80 80 01 
101,0.003 239 683,"SysTick","ISR Exit","Returns to Idle",583143,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3054,3,94 FF 87 
102,0.003 569 706,"SysTick","ISR Enter","Runs for 3.311 us",642547,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3057,5,80 02 E3 D6 01 
103,0.003 573 017,"SysTick","ISR Exit","Returns to Idle",643143,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3062,3,06 C0 98 
104,0.003 903 061,"SysTick","ISR Enter","Runs for 3.267 us",702551,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3065,5,80 80 01 86 06 
105,0.003 906 328,"SysTick","ISR Exit","Returns to Idle",703139,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3070,3,12 CE 04 
106,0.004 236 372,"SysTick","ISR Enter","Runs for 3.311 us",762547,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3073,5,04 C0 98 80 80 
107,0.004 239 683,"SysTick","ISR Exit","Returns to Idle",763143,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3078,3,01 AB 06 
108,0.004 569 639,"SysTick","ISR Enter","Runs for 3.172 us",822535,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3081,5,41 0A C0 98 80 
109,0.004 572 811,"SysTick","ISR Exit","Returns to Idle",823106,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3086,3,80 01 EC 
110,0.004 902 972,"SysTick","ISR Enter","Runs for 3.172 us",882535,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3089,5,FE 87 80 02 8C 
111,0.004 906 144,"SysTick","ISR Exit","Returns to Idle",883106,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3094,3,2D 03 83 
112,0.005 236 372,"SysTick","ISR Enter","Runs for 3.311 us",942547,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3097,5,04 42 06 01 FF 
113,0.005 239 683,"SysTick","ISR Exit","Returns to Idle",943143,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3102,3,FF FF FF 
114,0.005 569 706,"SysTick","ISR Enter","Runs for 3.311 us",1002547,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3105,5,0F 84 06 06 F8 
115,0.005 573 017,"SysTick","ISR Exit","Returns to Idle",1003143,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3110,3,A8 80 80 
116,0.005 902 972,"SysTick","ISR Enter","Runs for 3.172 us",1062535,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3113,5,01 84 0B 5A 0C 
117,0.005 906 144,"SysTick","ISR Exit","Returns to Idle",1063106,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3118,3,98 8D 81 
118,0.006 236 372,"SysTick","ISR Enter","Runs for 3.311 us",1122547,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3121,5,80 01 D8 97 80 
119,0.006 239 683,"SysTick","ISR Exit","Returns to Idle",1123143,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3126,3,80 02 0F 
120,0.006 569 639,"SysTick","ISR Enter","Runs for 3.172 us",1182535,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3129,5,00 D0 10 06 D8 
121,0.006 572 811,"SysTick","ISR Exit","Returns to Idle",1183106,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3134,3,EA 80 80 
122,0.006 902 972,"SysTick","ISR Enter","Runs for 3.172 us",1242535,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3137,5,01 E7 08 3E 08 
123,0.006 906 144,"SysTick","ISR Exit","Returns to Idle",1243106,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3142,3,B0 B9 80 
124,0.007 236 372,"SysTick","ISR Enter","Runs for 3.311 us",1302547,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3145,5,80 01 01 01 00 
125,0.007 239 683,"SysTick","ISR Exit","Returns to Idle",1303143,0x000000010000000F,0x000000010000000F,0x0000001000000000,3,3150,3,98 0B 06 
126,0.007 569 639,"SysTick","ISR Enter","Runs for 3.172 us",1362535,0x0000001000000000,0x000000010000000F,0x000000010000000F,2,3153,5,B0 B9 80 80 01 
